Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2016-01-01;52;Pays de la Loire;5.35;10.95;8.15
2016-01-02;52;Pays de la Loire;8.15;11.6;9.88
2016-01-03;52;Pays de la Loire;5.8;10.2;8.0
2016-01-04;52;Pays de la Loire;6.15;12.15;9.15
2016-01-05;52;Pays de la Loire;6.35;10.0;8.18
2016-01-06;52;Pays de la Loire;5.6;11.95;8.77
2016-01-07;52;Pays de la Loire;6.85;12.55;9.7
2016-01-08;52;Pays de la Loire;4.3;10.4;7.35
2016-01-09;52;Pays de la Loire;5.55;13.2;9.38
2016-01-10;52;Pays de la Loire;5.0;10.7;7.85
2016-01-11;52;Pays de la Loire;4.95;10.3;7.62
2016-01-12;52;Pays de la Loire;5.35;9.25;7.3
2016-01-13;52;Pays de la Loire;0.95;8.55;4.75
2016-01-14;52;Pays de la Loire;3.95;8.95;6.45
2016-01-15;52;Pays de la Loire;-0.05;7.25;3.6
2016-01-16;52;Pays de la Loire;-1.7;8.25;3.28
2016-01-17;52;Pays de la Loire;-2.55;7.25;2.35
2016-01-18;52;Pays de la Loire;1.5;3.7;2.6
2016-01-19;52;Pays de la Loire;1.1;3.3;2.2
2016-01-20;52;Pays de la Loire;1.3;4.9;3.1
2016-01-21;52;Pays de la Loire;-1.05;3.65;1.3
2016-01-22;52;Pays de la Loire;1.9;11.45;6.68
2016-01-23;52;Pays de la Loire;5.4;11.45;8.43
2016-01-24;52;Pays de la Loire;6.95;16.3;11.62
2016-01-25;52;Pays de la Loire;5.15;14.95;10.05
2016-01-26;52;Pays de la Loire;7.0;13.65;10.32
2016-01-27;52;Pays de la Loire;10.35;14.1;12.22
2016-01-28;52;Pays de la Loire;6.6;9.95;8.27
2016-01-29;52;Pays de la Loire;0.05;10.95;5.5
2016-01-30;52;Pays de la Loire;8.85;11.85;10.35
2016-01-31;52;Pays de la Loire;8.25;13.7;10.98
2016-02-01;52;Pays de la Loire;11.4;13.15;12.27
2016-02-02;52;Pays de la Loire;9.5;13.15;11.32
2016-02-03;52;Pays de la Loire;4.95;10.0;7.48
2016-02-04;52;Pays de la Loire;1.4;12.2;6.8
2016-02-05;52;Pays de la Loire;9.7;11.3;10.5
2016-02-06;52;Pays de la Loire;6.8;14.0;10.4
2016-02-07;52;Pays de la Loire;5.45;12.5;8.98
2016-02-08;52;Pays de la Loire;8.75;13.05;10.9
2016-02-09;52;Pays de la Loire;4.7;12.8;8.75
2016-02-10;52;Pays de la Loire;2.15;9.5;5.82
2016-02-11;52;Pays de la Loire;0.35;10.25;5.3
2016-02-12;52;Pays de la Loire;3.0;11.4;7.2
2016-02-13;52;Pays de la Loire;5.2;11.75;8.48
2016-02-14;52;Pays de la Loire;4.55;10.7;7.62
2016-02-15;52;Pays de la Loire;1.9;8.35;5.12
2016-02-16;52;Pays de la Loire;-2.35;8.25;2.95
2016-02-17;52;Pays de la Loire;-4.75;5.65;0.45
2016-02-18;52;Pays de la Loire;0.45;8.45;4.45
2016-02-19;52;Pays de la Loire;-2.2;11.35;4.58
2016-02-20;52;Pays de la Loire;7.65;12.05;9.85
2016-02-21;52;Pays de la Loire;9.8;12.15;10.98
2016-02-22;52;Pays de la Loire;9.55;12.15;10.85
2016-02-23;52;Pays de la Loire;6.7;10.75;8.72
2016-02-24;52;Pays de la Loire;4.85;8.95;6.9
2016-02-25;52;Pays de la Loire;1.05;9.55;5.3
2016-02-26;52;Pays de la Loire;0.3;9.7;5.0
2016-02-27;52;Pays de la Loire;1.25;8.7;4.97
2016-02-28;52;Pays de la Loire;1.65;9.8;5.72
2016-02-29;52;Pays de la Loire;0.35;10.0;5.18
2016-03-01;52;Pays de la Loire;0.55;11.05;5.8
2016-03-02;52;Pays de la Loire;5.65;11.25;8.45
2016-03-03;52;Pays de la Loire;5.65;11.65;8.65
2016-03-04;52;Pays de la Loire;5.3;8.55;6.93
2016-03-05;52;Pays de la Loire;1.55;8.95;5.25
2016-03-06;52;Pays de la Loire;-0.1;10.0;4.95
2016-03-07;52;Pays de la Loire;0.25;8.4;4.32
2016-03-08;52;Pays de la Loire;-2.3;10.4;4.05
2016-03-09;52;Pays de la Loire;6.45;9.55;8.0
2016-03-10;52;Pays de la Loire;5.25;9.7;7.48
2016-03-11;52;Pays de la Loire;4.8;11.3;8.05
2016-03-12;52;Pays de la Loire;0.05;12.3;6.18
2016-03-13;52;Pays de la Loire;1.35;11.25;6.3
2016-03-14;52;Pays de la Loire;3.0;12.05;7.52
2016-03-15;52;Pays de la Loire;1.85;13.25;7.55
2016-03-16;52;Pays de la Loire;4.1;10.6;7.35
2016-03-17;52;Pays de la Loire;3.05;12.9;7.98
2016-03-18;52;Pays de la Loire;0.85;14.1;7.48
2016-03-19;52;Pays de la Loire;2.95;11.3;7.12
2016-03-20;52;Pays de la Loire;4.35;11.45;7.9
2016-03-21;52;Pays de la Loire;2.05;12.05;7.05
2016-03-22;52;Pays de la Loire;1.7;12.85;7.28
2016-03-23;52;Pays de la Loire;2.85;13.8;8.32
2016-03-24;52;Pays de la Loire;1.3;12.2;6.75
2016-03-25;52;Pays de la Loire;7.75;16.05;11.9
2016-03-26;52;Pays de la Loire;6.9;16.35;11.62
2016-03-27;52;Pays de la Loire;6.7;13.9;10.3
2016-03-28;52;Pays de la Loire;8.55;14.1;11.32
2016-03-29;52;Pays de la Loire;6.7;15.35;11.02
2016-03-30;52;Pays de la Loire;7.6;9.15;8.38
2016-03-31;52;Pays de la Loire;5.45;10.95;8.2
2016-04-01;52;Pays de la Loire;-0.5;14.95;7.22
2016-04-02;52;Pays de la Loire;0.7;11.5;6.1
2016-04-03;52;Pays de la Loire;4.15;18.55;11.35
2016-04-04;52;Pays de la Loire;7.0;17.35;12.18
2016-04-05;52;Pays de la Loire;5.4;16.05;10.73
2016-04-06;52;Pays de la Loire;4.6;13.95;9.28
2016-04-07;52;Pays de la Loire;4.2;12.95;8.57
2016-04-08;52;Pays de la Loire;3.1;14.5;8.8
2016-04-09;52;Pays de la Loire;6.4;12.1;9.25
2016-04-10;52;Pays de la Loire;2.45;18.85;10.65
2016-04-11;52;Pays de la Loire;6.75;15.6;11.18
2016-04-12;52;Pays de la Loire;3.8;19.15;11.48
2016-04-13;52;Pays de la Loire;4.0;17.65;10.82
2016-04-14;52;Pays de la Loire;4.7;14.7;9.7
2016-04-15;52;Pays de la Loire;8.15;16.35;12.25
2016-04-16;52;Pays de la Loire;7.8;16.05;11.92
2016-04-17;52;Pays de la Loire;2.7;13.05;7.88
2016-04-18;52;Pays de la Loire;-0.05;15.4;7.68
2016-04-19;52;Pays de la Loire;4.2;18.6;11.4
2016-04-20;52;Pays de la Loire;9.15;18.75;13.95
2016-04-21;52;Pays de la Loire;11.6;20.7;16.15
2016-04-22;52;Pays de la Loire;11.5;17.4;14.45
2016-04-23;52;Pays de la Loire;9.25;12.3;10.78
2016-04-24;52;Pays de la Loire;0.85;12.6;6.72
2016-04-25;52;Pays de la Loire;0.35;12.5;6.42
2016-04-26;52;Pays de la Loire;5.45;12.15;8.8
2016-04-27;52;Pays de la Loire;-1.2;12.7;5.75
2016-04-28;52;Pays de la Loire;-0.45;13.95;6.75
2016-04-29;52;Pays de la Loire;2.95;14.45;8.7
2016-04-30;52;Pays de la Loire;4.95;14.35;9.65
2016-05-01;52;Pays de la Loire;-0.2;16.3;8.05
2016-05-02;52;Pays de la Loire;3.75;17.1;10.42
2016-05-03;52;Pays de la Loire;7.25;17.35;12.3
2016-05-04;52;Pays de la Loire;5.1;20.15;12.62
2016-05-05;52;Pays de la Loire;7.9;23.5;15.7
2016-05-06;52;Pays de la Loire;9.65;22.35;16.0
2016-05-07;52;Pays de la Loire;13.0;22.95;17.98
2016-05-08;52;Pays de la Loire;14.7;23.6;19.15
2016-05-09;52;Pays de la Loire;14.4;18.85;16.62
2016-05-10;52;Pays de la Loire;13.3;22.85;18.08
2016-05-11;52;Pays de la Loire;9.2;19.1;14.15
2016-05-12;52;Pays de la Loire;10.0;17.3;13.65
2016-05-13;52;Pays de la Loire;13.0;18.25;15.62
2016-05-14;52;Pays de la Loire;9.25;14.7;11.98
2016-05-15;52;Pays de la Loire;3.85;18.15;11.0
2016-05-16;52;Pays de la Loire;4.55;18.1;11.32
2016-05-17;52;Pays de la Loire;5.5;19.0;12.25
2016-05-18;52;Pays de la Loire;9.8;16.2;13.0
2016-05-19;52;Pays de la Loire;9.9;18.15;14.02
2016-05-20;52;Pays de la Loire;12.45;19.95;16.2
2016-05-21;52;Pays de la Loire;9.75;23.9;16.83
2016-05-22;52;Pays de la Loire;10.95;16.0;13.48
2016-05-23;52;Pays de la Loire;8.1;18.75;13.42
2016-05-24;52;Pays de la Loire;5.75;19.1;12.42
2016-05-25;52;Pays de la Loire;9.35;21.3;15.32
2016-05-26;52;Pays de la Loire;10.35;21.55;15.95
2016-05-27;52;Pays de la Loire;10.3;24.25;17.27
2016-05-28;52;Pays de la Loire;13.45;24.1;18.77
2016-05-29;52;Pays de la Loire;13.75;16.6;15.18
2016-05-30;52;Pays de la Loire;12.9;19.4;16.15
2016-05-31;52;Pays de la Loire;11.85;18.05;14.95
2016-06-01;52;Pays de la Loire;13.05;17.95;15.5
2016-06-02;52;Pays de la Loire;13.55;17.9;15.72
2016-06-03;52;Pays de la Loire;12.15;16.75;14.45
2016-06-04;52;Pays de la Loire;13.05;19.1;16.08
2016-06-05;52;Pays de la Loire;11.95;21.45;16.7
2016-06-06;52;Pays de la Loire;14.65;24.95;19.8
2016-06-07;52;Pays de la Loire;14.4;26.15;20.28
2016-06-08;52;Pays de la Loire;12.65;26.35;19.5
2016-06-09;52;Pays de la Loire;15.2;26.5;20.85
2016-06-10;52;Pays de la Loire;15.65;22.6;19.12
2016-06-11;52;Pays de la Loire;15.2;20.35;17.78
2016-06-12;52;Pays de la Loire;13.45;20.5;16.98
2016-06-13;52;Pays de la Loire;14.05;19.45;16.75
2016-06-14;52;Pays de la Loire;12.55;18.35;15.45
2016-06-15;52;Pays de la Loire;10.35;19.45;14.9
2016-06-16;52;Pays de la Loire;9.9;20.15;15.02
2016-06-17;52;Pays de la Loire;11.95;19.4;15.68
2016-06-18;52;Pays de la Loire;9.2;20.25;14.72
2016-06-19;52;Pays de la Loire;12.2;21.35;16.77
2016-06-20;52;Pays de la Loire;15.05;18.2;16.62
2016-06-21;52;Pays de la Loire;16.5;21.2;18.85
2016-06-22;52;Pays de la Loire;16.1;25.15;20.62
2016-06-23;52;Pays de la Loire;19.4;28.6;24.0
2016-06-24;52;Pays de la Loire;15.65;24.3;19.98
2016-06-25;52;Pays de la Loire;13.35;21.35;17.35
2016-06-26;52;Pays de la Loire;10.35;21.4;15.88
2016-06-27;52;Pays de la Loire;14.2;21.25;17.72
2016-06-28;52;Pays de la Loire;13.8;23.1;18.45
2016-06-29;52;Pays de la Loire;13.2;21.95;17.58
2016-06-30;52;Pays de la Loire;16.0;22.9;19.45
2016-07-01;52;Pays de la Loire;16.8;21.85;19.33
2016-07-02;52;Pays de la Loire;11.85;21.2;16.52
2016-07-03;52;Pays de la Loire;11.3;20.25;15.78
2016-07-04;52;Pays de la Loire;13.9;21.1;17.5
2016-07-05;52;Pays de la Loire;13.3;22.7;18.0
2016-07-06;52;Pays de la Loire;9.95;25.6;17.77
2016-07-07;52;Pays de la Loire;11.6;28.85;20.22
2016-07-08;52;Pays de la Loire;13.9;26.65;20.27
2016-07-09;52;Pays de la Loire;14.25;26.9;20.58
2016-07-10;52;Pays de la Loire;13.1;25.85;19.48
2016-07-11;52;Pays de la Loire;15.4;23.7;19.55
2016-07-12;52;Pays de la Loire;12.55;22.45;17.5
2016-07-13;52;Pays de la Loire;10.9;21.3;16.1
2016-07-14;52;Pays de la Loire;9.45;22.0;15.72
2016-07-15;52;Pays de la Loire;7.45;25.05;16.25
2016-07-16;52;Pays de la Loire;11.8;28.2;20.0
2016-07-17;52;Pays de la Loire;16.55;31.1;23.82
2016-07-18;52;Pays de la Loire;19.05;35.05;27.05
2016-07-19;52;Pays de la Loire;20.15;36.95;28.55
2016-07-20;52;Pays de la Loire;19.25;28.3;23.78
2016-07-21;52;Pays de la Loire;17.8;25.75;21.78
2016-07-22;52;Pays de la Loire;16.25;28.25;22.25
2016-07-23;52;Pays de la Loire;14.7;28.15;21.42
2016-07-24;52;Pays de la Loire;13.3;27.95;20.62
2016-07-25;52;Pays de la Loire;16.7;26.9;21.8
2016-07-26;52;Pays de la Loire;14.55;26.0;20.27
2016-07-27;52;Pays de la Loire;12.8;23.45;18.12
2016-07-28;52;Pays de la Loire;17.65;25.4;21.52
2016-07-29;52;Pays de la Loire;17.9;23.95;20.92
2016-07-30;52;Pays de la Loire;13.5;23.25;18.38
2016-07-31;52;Pays de la Loire;14.0;26.35;20.18
2016-08-01;52;Pays de la Loire;10.4;25.0;17.7
2016-08-02;52;Pays de la Loire;16.6;25.35;20.98
2016-08-03;52;Pays de la Loire;17.8;25.8;21.8
2016-08-04;52;Pays de la Loire;15.45;22.95;19.2
2016-08-05;52;Pays de la Loire;12.45;24.6;18.52
2016-08-06;52;Pays de la Loire;10.35;26.4;18.38
2016-08-07;52;Pays de la Loire;13.05;30.0;21.52
2016-08-08;52;Pays de la Loire;17.0;24.25;20.62
2016-08-09;52;Pays de la Loire;11.75;23.8;17.77
2016-08-10;52;Pays de la Loire;7.35;21.0;14.18
2016-08-11;52;Pays de la Loire;8.6;24.8;16.7
2016-08-12;52;Pays de la Loire;9.85;28.7;19.28
2016-08-13;52;Pays de la Loire;12.05;31.2;21.62
2016-08-14;52;Pays de la Loire;15.75;31.6;23.67
2016-08-15;52;Pays de la Loire;17.1;31.15;24.12
2016-08-16;52;Pays de la Loire;17.15;33.0;25.08
2016-08-17;52;Pays de la Loire;14.25;30.05;22.15
2016-08-18;52;Pays de la Loire;16.15;24.2;20.17
2016-08-19;52;Pays de la Loire;12.85;20.65;16.75
2016-08-20;52;Pays de la Loire;13.45;23.75;18.6
2016-08-21;52;Pays de la Loire;12.0;24.25;18.12
2016-08-22;52;Pays de la Loire;11.25;29.7;20.48
2016-08-23;52;Pays de la Loire;16.55;35.7;26.12
2016-08-24;52;Pays de la Loire;16.55;34.1;25.32
2016-08-25;52;Pays de la Loire;17.95;36.15;27.05
2016-08-26;52;Pays de la Loire;19.1;33.5;26.3
2016-08-27;52;Pays de la Loire;17.3;33.7;25.5
2016-08-28;52;Pays de la Loire;16.35;26.35;21.35
2016-08-29;52;Pays de la Loire;16.95;25.6;21.28
2016-08-30;52;Pays de la Loire;13.45;28.2;20.82
2016-08-31;52;Pays de la Loire;13.1;29.55;21.32
2016-09-01;52;Pays de la Loire;13.55;29.35;21.45
2016-09-02;52;Pays de la Loire;12.95;29.45;21.2
2016-09-03;52;Pays de la Loire;13.15;28.8;20.98
2016-09-04;52;Pays de la Loire;17.15;24.4;20.78
2016-09-05;52;Pays de la Loire;19.25;26.4;22.82
2016-09-06;52;Pays de la Loire;15.55;29.95;22.75
2016-09-07;52;Pays de la Loire;17.05;31.9;24.48
2016-09-08;52;Pays de la Loire;14.2;25.3;19.75
2016-09-09;52;Pays de la Loire;10.15;26.15;18.15
2016-09-10;52;Pays de la Loire;10.55;25.85;18.2
2016-09-11;52;Pays de la Loire;16.6;25.35;20.98
2016-09-12;52;Pays de la Loire;14.5;31.35;22.92
2016-09-13;52;Pays de la Loire;17.95;30.95;24.45
2016-09-14;52;Pays de la Loire;15.7;23.1;19.4
2016-09-15;52;Pays de la Loire;15.15;21.8;18.48
2016-09-16;52;Pays de la Loire;13.6;19.1;16.35
2016-09-17;52;Pays de la Loire;11.0;20.35;15.68
2016-09-18;52;Pays de la Loire;13.95;22.6;18.27
2016-09-19;52;Pays de la Loire;12.7;21.65;17.17
2016-09-20;52;Pays de la Loire;11.55;22.6;17.08
2016-09-21;52;Pays de la Loire;10.25;24.35;17.3
2016-09-22;52;Pays de la Loire;10.55;23.4;16.97
2016-09-23;52;Pays de la Loire;10.9;24.9;17.9
2016-09-24;52;Pays de la Loire;8.65;26.7;17.67
2016-09-25;52;Pays de la Loire;13.8;22.45;18.12
2016-09-26;52;Pays de la Loire;8.4;21.9;15.15
2016-09-27;52;Pays de la Loire;12.1;22.35;17.23
2016-09-28;52;Pays de la Loire;15.45;21.3;18.38
2016-09-29;52;Pays de la Loire;12.95;23.35;18.15
2016-09-30;52;Pays de la Loire;12.8;16.9;14.85
2016-10-01;52;Pays de la Loire;10.5;18.5;14.5
2016-10-02;52;Pays de la Loire;5.7;19.35;12.53
2016-10-03;52;Pays de la Loire;5.7;20.15;12.92
2016-10-04;52;Pays de la Loire;8.5;20.2;14.35
2016-10-05;52;Pays de la Loire;9.7;19.75;14.72
2016-10-06;52;Pays de la Loire;6.55;16.6;11.58
2016-10-07;52;Pays de la Loire;6.35;15.1;10.73
2016-10-08;52;Pays de la Loire;9.1;17.0;13.05
2016-10-09;52;Pays de la Loire;5.75;15.95;10.85
2016-10-10;52;Pays de la Loire;5.0;17.8;11.4
2016-10-11;52;Pays de la Loire;3.75;15.05;9.4
2016-10-12;52;Pays de la Loire;4.8;15.45;10.12
2016-10-13;52;Pays de la Loire;6.65;12.4;9.52
2016-10-14;52;Pays de la Loire;9.3;13.35;11.32
2016-10-15;52;Pays de la Loire;5.3;17.65;11.48
2016-10-16;52;Pays de la Loire;9.95;18.5;14.23
2016-10-17;52;Pays de la Loire;9.9;19.5;14.7
2016-10-18;52;Pays de la Loire;5.3;16.9;11.1
2016-10-19;52;Pays de la Loire;6.5;14.95;10.72
2016-10-20;52;Pays de la Loire;4.6;16.05;10.32
2016-10-21;52;Pays de la Loire;3.75;16.65;10.2
2016-10-22;52;Pays de la Loire;4.1;14.65;9.38
2016-10-23;52;Pays de la Loire;6.2;12.5;9.35
2016-10-24;52;Pays de la Loire;8.85;15.6;12.22
2016-10-25;52;Pays de la Loire;10.9;16.3;13.6
2016-10-26;52;Pays de la Loire;7.3;14.4;10.85
2016-10-27;52;Pays de la Loire;9.65;14.55;12.1
2016-10-28;52;Pays de la Loire;6.1;15.75;10.92
2016-10-29;52;Pays de la Loire;7.4;14.85;11.12
2016-10-30;52;Pays de la Loire;8.6;17.85;13.23
2016-10-31;52;Pays de la Loire;7.85;19.65;13.75
2016-11-01;52;Pays de la Loire;3.65;16.25;9.95
2016-11-02;52;Pays de la Loire;5.1;13.8;9.45
2016-11-03;52;Pays de la Loire;0.95;12.55;6.75
2016-11-04;52;Pays de la Loire;1.9;13.25;7.57
2016-11-05;52;Pays de la Loire;6.75;13.05;9.9
2016-11-06;52;Pays de la Loire;2.7;10.65;6.68
2016-11-07;52;Pays de la Loire;-1.85;10.4;4.27
2016-11-08;52;Pays de la Loire;1.55;10.45;6.0
2016-11-09;52;Pays de la Loire;6.95;13.05;10.0
2016-11-10;52;Pays de la Loire;8.2;13.65;10.92
2016-11-11;52;Pays de la Loire;5.35;13.0;9.18
2016-11-12;52;Pays de la Loire;3.35;12.7;8.02
2016-11-13;52;Pays de la Loire;8.9;14.35;11.62
2016-11-14;52;Pays de la Loire;0.85;12.75;6.8
2016-11-15;52;Pays de la Loire;7.65;13.0;10.32
2016-11-16;52;Pays de la Loire;11.2;13.1;12.15
2016-11-17;52;Pays de la Loire;9.25;15.15;12.2
2016-11-18;52;Pays de la Loire;7.0;11.95;9.48
2016-11-19;52;Pays de la Loire;2.65;13.6;8.12
2016-11-20;52;Pays de la Loire;8.45;13.8;11.12
2016-11-21;52;Pays de la Loire;10.25;14.75;12.5
2016-11-22;52;Pays de la Loire;6.8;12.75;9.77
2016-11-23;52;Pays de la Loire;5.9;13.0;9.45
2016-11-24;52;Pays de la Loire;10.75;13.95;12.35
2016-11-25;52;Pays de la Loire;8.45;9.75;9.1
2016-11-26;52;Pays de la Loire;7.05;10.4;8.73
2016-11-27;52;Pays de la Loire;6.05;11.05;8.55
2016-11-28;52;Pays de la Loire;4.2;8.95;6.58
2016-11-29;52;Pays de la Loire;-1.05;4.55;1.75
2016-11-30;52;Pays de la Loire;-0.85;10.0;4.57
2016-12-01;52;Pays de la Loire;-2.45;9.45;3.5
2016-12-02;52;Pays de la Loire;-1.85;6.85;2.5
2016-12-03;52;Pays de la Loire;2.85;8.65;5.75
2016-12-04;52;Pays de la Loire;0.35;7.5;3.92
2016-12-05;52;Pays de la Loire;3.4;13.6;8.5
2016-12-06;52;Pays de la Loire;5.4;13.55;9.48
2016-12-07;52;Pays de la Loire;3.05;14.05;8.55
2016-12-08;52;Pays de la Loire;1.7;12.9;7.3
2016-12-09;52;Pays de la Loire;2.45;13.3;7.88
2016-12-10;52;Pays de la Loire;1.75;8.05;4.9
2016-12-11;52;Pays de la Loire;4.9;9.4;7.15
2016-12-12;52;Pays de la Loire;7.55;11.2;9.38
2016-12-13;52;Pays de la Loire;6.0;14.35;10.18
2016-12-14;52;Pays de la Loire;3.05;11.7;7.38
2016-12-15;52;Pays de la Loire;1.7;10.75;6.22
2016-12-16;52;Pays de la Loire;5.9;12.8;9.35
2016-12-17;52;Pays de la Loire;0.4;9.6;5.35
2016-12-18;52;Pays de la Loire;1.6;3.4;2.5
2016-12-19;52;Pays de la Loire;1.3;4.7;3.0
2016-12-20;52;Pays de la Loire;0.3;5.6;2.95
2016-12-21;52;Pays de la Loire;1.8;12.7;7.25
2016-12-22;52;Pays de la Loire;7.1;12.1;9.6
2016-12-23;52;Pays de la Loire;1.7;12.0;6.85
2016-12-24;52;Pays de la Loire;5.8;11.7;8.75
2016-12-25;52;Pays de la Loire;6.45;12.75;9.6
2016-12-26;52;Pays de la Loire;8.2;12.75;10.48
2016-12-27;52;Pays de la Loire;1.9;8.6;5.25
2016-12-28;52;Pays de la Loire;1.15;8.8;4.97
2016-12-29;52;Pays de la Loire;-1.5;5.5;2.0
2016-12-30;52;Pays de la Loire;-3.75;-1.0;-2.38
2016-12-31;52;Pays de la Loire;-4.75;-2.95;-3.85
2017-01-01;52;Pays de la Loire;-4.35;3.65;-0.35
2017-01-02;52;Pays de la Loire;1.95;4.8;3.38
2017-01-03;52;Pays de la Loire;-0.05;2.35;1.15
2017-01-04;52;Pays de la Loire;-2.35;5.2;1.42
2017-01-05;52;Pays de la Loire;-1.25;7.35;3.05
2017-01-06;52;Pays de la Loire;-4.15;2.65;-0.75
2017-01-07;52;Pays de la Loire;-4.8;4.3;-0.25
2017-01-08;52;Pays de la Loire;2.15;8.3;5.22
2017-01-09;52;Pays de la Loire;6.25;10.25;8.25
2017-01-10;52;Pays de la Loire;5.05;9.85;7.45
2017-01-11;52;Pays de la Loire;6.9;13.6;10.25
2017-01-12;52;Pays de la Loire;7.45;12.0;9.73
2017-01-13;52;Pays de la Loire;2.75;9.4;6.08
2017-01-14;52;Pays de la Loire;-0.4;9.25;4.43
2017-01-15;52;Pays de la Loire;2.4;9.45;5.92
2017-01-16;52;Pays de la Loire;4.4;8.4;6.4
2017-01-17;52;Pays de la Loire;-1.4;4.1;1.35
2017-01-18;52;Pays de la Loire;-3.2;3.0;-0.1
2017-01-19;52;Pays de la Loire;-3.65;0.85;-1.4
2017-01-20;52;Pays de la Loire;-6.55;2.15;-2.2
2017-01-21;52;Pays de la Loire;-7.8;5.1;-1.35
2017-01-22;52;Pays de la Loire;-4.8;8.6;1.9
2017-01-23;52;Pays de la Loire;-3.05;8.0;2.48
2017-01-24;52;Pays de la Loire;-5.55;6.95;0.7
2017-01-25;52;Pays de la Loire;-3.6;2.75;-0.42
2017-01-26;52;Pays de la Loire;-4.85;7.9;1.52
2017-01-27;52;Pays de la Loire;0.5;10.95;5.72
2017-01-28;52;Pays de la Loire;4.15;12.2;8.18
2017-01-29;52;Pays de la Loire;1.75;11.4;6.57
2017-01-30;52;Pays de la Loire;9.05;12.75;10.9
2017-01-31;52;Pays de la Loire;10.4;13.8;12.1
2017-02-01;52;Pays de la Loire;8.5;13.05;10.78
2017-02-02;52;Pays de la Loire;8.85;11.85;10.35
2017-02-03;52;Pays de la Loire;6.0;10.0;8.0
2017-02-04;52;Pays de la Loire;5.75;11.35;8.55
2017-02-05;52;Pays de la Loire;5.9;12.0;8.95
2017-02-06;52;Pays de la Loire;1.9;10.85;6.38
2017-02-07;52;Pays de la Loire;6.0;12.75;9.38
2017-02-08;52;Pays de la Loire;1.6;9.95;5.78
2017-02-09;52;Pays de la Loire;-0.8;6.9;3.05
2017-02-10;52;Pays de la Loire;-0.7;5.75;2.52
2017-02-11;52;Pays de la Loire;-4.05;4.65;0.3
2017-02-12;52;Pays de la Loire;-0.7;9.9;4.6
2017-02-13;52;Pays de la Loire;6.0;14.8;10.4
2017-02-14;52;Pays de la Loire;8.9;14.2;11.55
2017-02-15;52;Pays de la Loire;8.0;15.65;11.82
2017-02-16;52;Pays de la Loire;5.8;16.3;11.05
2017-02-17;52;Pays de la Loire;1.35;14.4;7.88
2017-02-18;52;Pays de la Loire;2.05;14.2;8.12
2017-02-19;52;Pays de la Loire;-2.0;14.05;6.02
2017-02-20;52;Pays de la Loire;4.25;12.7;8.48
2017-02-21;52;Pays de la Loire;9.85;12.35;11.1
2017-02-22;52;Pays de la Loire;9.6;11.9;10.75
2017-02-23;52;Pays de la Loire;9.15;12.45;10.8
2017-02-24;52;Pays de la Loire;3.2;11.8;7.5
2017-02-25;52;Pays de la Loire;-1.05;13.1;6.02
2017-02-26;52;Pays de la Loire;2.85;13.25;8.05
2017-02-27;52;Pays de la Loire;6.85;12.95;9.9
2017-02-28;52;Pays de la Loire;3.9;10.4;7.15
2017-03-01;52;Pays de la Loire;7.3;13.05;10.18
2017-03-02;52;Pays de la Loire;3.4;12.6;8.0
2017-03-03;52;Pays de la Loire;7.8;17.15;12.48
2017-03-04;52;Pays de la Loire;6.6;12.6;9.6
2017-03-05;52;Pays de la Loire;4.5;12.85;8.68
2017-03-06;52;Pays de la Loire;7.2;11.5;9.35
2017-03-07;52;Pays de la Loire;6.4;11.0;8.7
2017-03-08;52;Pays de la Loire;7.85;13.4;10.62
2017-03-09;52;Pays de la Loire;10.6;15.9;13.25
2017-03-10;52;Pays de la Loire;7.0;18.65;12.82
2017-03-11;52;Pays de la Loire;4.9;19.0;11.95
2017-03-12;52;Pays de la Loire;8.0;13.55;10.77
2017-03-13;52;Pays de la Loire;9.45;15.2;12.32
2017-03-14;52;Pays de la Loire;0.65;15.5;8.07
2017-03-15;52;Pays de la Loire;8.3;13.85;11.08
2017-03-16;52;Pays de la Loire;5.05;21.3;13.18
2017-03-17;52;Pays de la Loire;6.15;14.3;10.22
2017-03-18;52;Pays de la Loire;5.25;14.15;9.7
2017-03-19;52;Pays de la Loire;9.8;13.65;11.72
2017-03-20;52;Pays de la Loire;9.0;13.15;11.08
2017-03-21;52;Pays de la Loire;8.5;12.95;10.72
2017-03-22;52;Pays de la Loire;3.15;9.3;6.22
2017-03-23;52;Pays de la Loire;3.3;10.05;6.68
2017-03-24;52;Pays de la Loire;2.15;12.75;7.45
2017-03-25;52;Pays de la Loire;8.2;17.9;13.05
2017-03-26;52;Pays de la Loire;5.6;17.4;11.5
2017-03-27;52;Pays de la Loire;6.3;20.1;13.2
2017-03-28;52;Pays de la Loire;5.3;18.1;11.7
2017-03-29;52;Pays de la Loire;5.3;22.1;13.7
2017-03-30;52;Pays de la Loire;7.55;23.8;15.68
2017-03-31;52;Pays de la Loire;12.25;18.1;15.18
2017-04-01;52;Pays de la Loire;8.55;16.4;12.48
2017-04-02;52;Pays de la Loire;6.2;16.65;11.42
2017-04-03;52;Pays de la Loire;3.4;20.05;11.73
2017-04-04;52;Pays de la Loire;4.55;15.6;10.07
2017-04-05;52;Pays de la Loire;7.85;17.7;12.77
2017-04-06;52;Pays de la Loire;5.95;16.6;11.28
2017-04-07;52;Pays de la Loire;3.05;19.25;11.15
